Condition Name,Condition Bucket
"Carcinoma, Non-Small-Cell Lung",NSCLC
Non-small Cell Lung Cancer (NSCLC),NSCLC
Non-small Cell Lung Cancer,NSCLC
non-small cell lung cancer (nsclc),NSCLC
non small cell lung cancer (nsclc),NSCLC
alk-positive nsclc,NSCLC
nsclc,NSCLC
"documented stage iii nsclc, amenable to concomitant or sequential chemoradiotherapy",NSCLC
Renal Cancer,RCC
Renal Cell Carcinoma (RCC),RCC
Renal Cell Carcinoma,RCC
Clear-cell Metastatic Renal Cell Carcinoma,RCC
Malignant Melanoma,Melanoma
Metastatic Melanoma (MEL),Melanoma
Melanoma,Melanoma
Advanced Melanoma,Melanoma
Metastatic Melanoma,Melanoma
Uveal Melanoma,Melanoma
Prostate Cancer,Prostate Cancer
Metastatic Castration-resistant Prostrate Cancer (mCRPC),Prostate Cancer
