Agent,MoA,MoA_Bucket,Source
ACP-196,BTK Inhibitor,Targeted,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=756623
ADXS31-142,Lm-LLO,IO,http://ir.advaxis.com/press-releases/detail/854/advaxis-submits-investigational-new-drug-application-for
ADXS11-001,Lm-LLO,IO,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=673240
AMG820,CSF-1R,IO,http://www.amgen.com/media/news-releases/2015/12/amgen-and-merck-announce-cancer-immunotherapy-collaboration-for-patients-with-non-hodgkin-lymphoma/
Axitinib,TKI,Targeted,https://en.wikipedia.org/wiki/Axitinib
Azacitidine,Chemo,Chemo,
AZD5069,CXCR2,Targeted,Other MoA Sheet -- AZD9150 is an antisense oligonucleotide inhibitor of STAT3
AZD9150,STAT3,Targeted,Other MoA Sheet -- AZD9150 is an antisense oligonucleotide inhibitor of STAT3
AZD9291,EGFR-TKI,Targeted,https://www.astrazeneca.com/media-centre/press-releases/2015/TAGRISSO-AZD9291-approved-by-the-US-FDA-for-patients-with-EGFR-T790M-mutation-positive-metastatic-non-small-cell-lung-cancer-13112015.html
Bavituximab,PS-targeting mab,IO,http://www.peregrineinc.com/pipeline/bavituximab-oncology.html
Bendamustine + Obinutuzumab; Obinutuzumab + CHOP,,Targeted & Chemo,
Best supportive care,Other,Other,
Bevacizumab,VEGF Inhibitor,Targeted,https://en.wikipedia.org/wiki/Bevacizumab
Bevacizumab +/- chemo (solid tumors),VEGF Inhibitor & Chemo,Targeted & Chemo,
Bevacizumab; 5-FU + Bevacizumab + Leucovorin + Oxaliplatin; Gemcitabine + Nab-Paclitaxel,VEGF Inhibitor & Chemo,Targeted & Chemo,
Bevacizumab; Bevacizumab + FOLFOX,VEGF Inhibitor & Chemo,Targeted & Chemo,
Blincyto,BiTEs,IO,https://en.wikipedia.org/wiki/Blinatumomab
BMS-982470,IL21R,IO,http://therapy.collabrx.com/lung/drug/BMS-982470; http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2493068/
